Nome,Versão,Ano,Quilometragem,Localização,Preço,Oferta
PORSCHE CAYENNE,3.0 v6 e-hybrid awd tiptronic s,2021/2022,7.237 Km,Fortaleza (CE),R$ 639.000,Não
AUDI A5,2.0 tfsi mhev sportback s line s tronic,2023/2024,10.000 Km,Fortaleza (CE),R$ 299.990,Não
CHEVROLET ONIX,1.0 turbo flex ltz automático,2023/2024,13.260 Km,Sobral (CE),R$ 96.390,Sim
JEEP RENEGADE,1.3 t270 turbo flex longitude at6,2023/2024,26.093 Km,Juazeiro do Norte (CE),R$ 120.690,Sim
CHEVROLET TRACKER,1.0 turbo flex ltz automático,2021/2022,46.730 Km,Fortaleza (CE),R$ 104.900,Não
AUDI A3,2.0 tfsi gasolina sedan performance black s-tronic,2025/2025,0 Km,Fortaleza (CE),R$ 349.990,Não
CITROËN C3 AIRCROSS,1.0 turbo 200 flex feel pack 7l cvt,2024/2025,18.926 Km,Juazeiro do Norte (CE),R$ 117.690,Sim
FIAT FIORINO,1.4 mpi furgão endurance 8v flex 2p manual,2023/2024,29.679 Km,Sobral (CE),R$ 95.590,Sim
PORSCHE CAYENNE,3.0 v6 s e-hybrid coupé awd tiptronic s,2024/2025,3.469 Km,Fortaleza (CE),R$ 899.000,Não
PORSCHE CAYENNE,3.0 v6 e-hybrid coupé awd tiptronic s,2024/2024,2.010 Km,Fortaleza (CE),R$ 800.000,Não
PORSCHE 718,2.0 16v h4 gasolina cayman pdk,2024/2024,2.751 Km,Fortaleza (CE),R$ 585.000,Não
TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2017/2018,107.000 Km,Maracanaú (CE),R$ 104.900,Não
CHEVROLET MONTANA,1.2 turbo flex ltz automático,2024/2025,22.659 Km,Juazeiro do Norte (CE),R$ 130.790,Sim
NISSAN SENTRA,2.0 16v gasolina advance xtronic,2023/2023,45.610 Km,Sobral (CE),R$ 122.190,Sim
VOLKSWAGEN NIVUS,1.0 200 tsi total flex highline automático,2024/2024,20.444 Km,Sobral (CE),R$ 132.290,Sim
CHEVROLET TRACKER,1.0 turbo flex ltz automático,2023/2024,42.466 Km,Sobral (CE),R$ 114.390,Sim
VOLVO EX30,51 kw elétrico core,2024/2025,0 Km,Fortaleza (CE),R$ 229.950,Sim
KIA SPORTAGE,1.6 tgdi mhev ex prestige dct,2022/2023,51.695 Km,Fortaleza (CE),R$ 209.900,Sim
VOLKSWAGEN T-CROSS,1.0 200 tsi total flex automático,2019/2020,83.800 Km,Maracanaú (CE),R$ 117.900,Não
CHEVROLET ONIX,1.4 mpfi ltz 8v flex 4p automático,2018/2019,50.893 Km,Fortaleza (CE),R$ 69.990,Não
FIAT MOBI,1.0 evo flex trekking manual,2023/2024,51.615 Km,Fortaleza (CE),R$ 66.190,Sim
PORSCHE TAYCAN,4s cross turismo elétrico,2022/2023,14.000 Km,Fortaleza (CE),R$ 629.000,Não
JAGUAR E-PACE,2.0 16v p300 gasolina r-dynamic se awd automático,2020/2020,54.000 Km,Fortaleza (CE),R$ 199.900,Não
MERCEDES-BENZ EQA 250,"66,5 kw elétrico",2024/2025,4.991 Km,Fortaleza (CE),R$ 329.900,Não
TROLLER T4,3.2 tgv 4x4 20v turbo intercooler diesel 2p automático,2020/2020,29.000 Km,Fortaleza (CE),R$ 215.900,Não
TROLLER T4,3.2 xlt 4x4 20v turbo intercooler diesel 2p manual,2015/2016,40.000 Km,Fortaleza (CE),R$ 155.900,Não
BMW 320i,2.0 16v turbo flex gp automático,2023/2024,6.000 Km,Fortaleza (CE),R$ 259.900,Não
CHEVROLET SILVERADO,5.3 v8 gasolina 1500 high country 4x4 automático,2023/2024,20.000 Km,Fortaleza (CE),R$ 419.900,Não
MERCEDES-BENZ C 250,2.0 cgi gasolina avantgarde 9g-tronic,2017/2018,27.000 Km,Fortaleza (CE),R$ 173.900,Não
CHEVROLET TRACKER,1.0 turbo flex lt automático,2022/2023,34.000 Km,Fortaleza (CE),R$ 97.900,Não
AUDI E-TRON GT,elétrico sportback quattro,2023/2024,6.500 Km,Fortaleza (CE),R$ 539.990,Não
HYUNDAI HB20,1.0 12v flex comfort plus manual,2024/2025,40.505 Km,Fortaleza (CE),R$ 75.990,Sim
AUDI Q5,2.0 55 tfsie phev performance black quattro s tronic,2024/2024,9.476 Km,Fortaleza (CE),R$ 374.990,Não
SUZUKI JIMNY,1.3 4all 4x4 16v gasolina 2p manual,2020/2021,58.000 Km,Maracanaú (CE),R$ 90.000,Não
TROLLER T4,3.2 xlt 4x4 20v turbo intercooler diesel 2p automático,2020/2021,39.000 Km,Fortaleza (CE),R$ 199.900,Não
FIAT PULSE,1.0 turbo 200 flex impetus cvt,2022/2023,19.000 Km,Fortaleza (CE),R$ 109.900,Não
NISSAN SENTRA,2.0 16v gasolina advance xtronic,2023/2023,38.860 Km,Fortaleza (CE),R$ 117.990,Sim
CHEVROLET ONIX,1.0 turbo flex lt manual,2024/2025,50.559 Km,Juazeiro do Norte (CE),R$ 76.990,Sim
VOLKSWAGEN NIVUS,1.0 200 tsi total flex highline automático,2023/2023,43.467 Km,Fortaleza (CE),R$ 119.140,Não
CHEVROLET ONIX,1.4 mpfi lt 8v flex 4p manual,2017/2018,103.000 Km,Fortaleza (CE),R$ 59.900,Não
VOLKSWAGEN POLO,1.0 mpi track manual,2024/2025,49.908 Km,Fortaleza (CE),R$ 82.260,Não
NISSAN KICKS,1.6 16v flexstart sense xtronic,2023/2024,40.150 Km,Fortaleza (CE),R$ 103.880,Não
CHEVROLET TRACKER,1.2 turbo flex premier automático,2023/2024,48.289 Km,Juazeiro do Norte (CE),R$ 117.690,Sim
CHEVROLET ONIX,1.0 turbo flex lt manual,2024/2025,27.600 Km,Sobral (CE),R$ 79.590,Sim
BMW X2,1.5 12v activeflex sdrive18i gp steptronic,2019/2020,55.000 Km,Fortaleza (CE),R$ 164.900,Não
VOLKSWAGEN T-CROSS,1.0 200 tsi total flex automático,2022/2023,54.734 Km,Fortaleza (CE),R$ 99.984,Não
NISSAN VERSA,1.6 16v flex exclusive xtronic,2021/2022,57.000 Km,Fortaleza (CE),R$ 89.900,Não
